planning_horizon_days,crews_available,status,scheduled_interventions,critical_repaired,total_cost_eur,solver_time_ms
7,1,HEURISTIC_SOLVED,1,1,0,16.32
7,2,HEURISTIC_SOLVED,2,2,0,17.47
7,3,HEURISTIC_SOLVED,3,3,0,18.74
7,4,HEURISTIC_SOLVED,4,4,0,19.14
14,1,HEURISTIC_SOLVED,1,1,0,19.94
14,2,HEURISTIC_SOLVED,2,2,0,20.82
14,3,HEURISTIC_SOLVED,3,3,0,19.0
14,4,HEURISTIC_SOLVED,4,4,0,19.67
21,1,HEURISTIC_SOLVED,1,1,0,19.99
21,2,HEURISTIC_SOLVED,2,2,0,18.33
21,3,HEURISTIC_SOLVED,3,3,0,18.3
21,4,HEURISTIC_SOLVED,4,4,0,20.33
30,1,HEURISTIC_SOLVED,1,1,0,18.4
30,2,HEURISTIC_SOLVED,2,2,0,19.64
30,3,HEURISTIC_SOLVED,3,3,0,18.53
30,4,HEURISTIC_SOLVED,4,4,0,18.6
